"Chinese","Pinyin","Definition"
"发","fā<br />fà","to send out  / to show (one's feeling)  / to issue  / to develop  / to make a bundle of money  / classifier for gunshots (rounds) <br />hair  / Taiwan pr. [fa3] "
"假","jiǎ<br />jià<br />jiǎ","fake  / false  / artificial  / to borrow  / if  / suppose <br />vacation <br />variant of 假 / to borrow "
"烧","shāo","to burn  / to cook  / to stew  / to bake  / to roast  / to heat  / to boil (tea, water etc)  / fever  / to run a temperature  / (coll.) to let things go to one's head "
"派","pài","clique  / school  / group  / faction  / to dispatch  / to send  / to assign  / to appoint  / pi (Greek letter Ππ)  / the circular ratio pi = 3.1415926  / (loanword) pie "
"能","Néng<br />néng","surname Neng <br />can  / to be able to  / might possibly  / ability  / (physics) energy "
"生日","",""
"派对","",""
"打扮","",""
"扮","bàn","to disguise oneself as  / to dress up  / to play (a role)  / to put on (an expression) "
"希望","",""
"跟","gēn","heel  / to follow closely  / to go with  / (of a woman) to marry sb  / with  / compared with  / to  / towards  / and (joining two nouns) "
"希","xī","to hope  / to admire  / variant of 稀 "
"望","wàng<br />wàng","full moon  / to hope  / to expect  / to visit  / to gaze (into the distance)  / to look towards  / towards <br />15th day of month (lunar calendar)  / old variant of 望 "
"大家","",""
"公司","",""
"正在","",""
"正","zhēng<br />zhèng","first month of the lunar year <br />straight  / upright  / proper  / main  / principal  / to correct  / to rectify  / exactly  / just (at that time)  / right (in that place)  / (math.) positive "
"司","Sī<br />sī","surname Si <br />to take charge of  / to manage  / department (under a ministry) "
"事情","",""
"才","cái<br />cái","ability  / talent  / sb of a certain type  / a capable individual  / only  / only then  / just now <br />a moment ago  / just now  / (indicating sth happening later than expected)  / (preceded by a clause of condition or reason) not until  / (followed by a numerical clause) only "
"事","shì<br />shìr","matter  / thing  / item  / work  / affair  / CL: 件, 樁｜桩, 回<br />one's employment  / business  / matter that needs to be settled  / (northern dialect) (of a person) demanding  / trying  / troublesome  / erhua variant of 事 / CL: 件, 樁｜桩"
"情","qíng","feeling  / emotion  / passion  / situation "
"费","Fèi<br />fèi","surname Fei <br />to cost  / to spend  / fee  / wasteful  / expenses "
"完","wán","to finish  / to be over  / whole  / complete  / entire "
"经","Jīng<br />jīng","surname Jing <br />classics  / sacred book  / scripture  / to pass through  / to undergo  / to bear  / to endure  / warp (textile)  / longitude  / menstruation  / channel (TCM)  / abbr. for economics 經濟｜经济 "
"已","yǐ","already  / to stop  / then  / afterwards "
"已经","",""
"小费","",""
"饱","bǎo","to eat till full  / satisfied "
"好吃","",""
"真","zhēn","really  / truly  / indeed  / real  / true  / genuine "
"饿","è","to be hungry  / hungry  / to starve (sb) "
"好喝","",""
"渴","kě","thirsty "
"巧克力","",""
"味道","",""
"甜点","",""
"甜","tián","sweet "
"巧","qiǎo","opportunely  / coincidentally  / as it happens  / skillful  / timely "
"克","kè<br />Kè<br />kè<br />kēi<br />kè","to be able to  / to subdue  / to restrain  / to overcome  / gram  / Tibetan unit of land area, about 6 ares <br />Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God <br />variant of 克 / to subdue  / to overthrow  / to restrain <br />to scold  / to beat <br />variant of 剋｜克 "
"力","Lì<br />lì","surname Li <br />power  / force  / strength  / ability  / strenuously "
"试","shì","to test  / to try  / experiment  / examination  / test "
"蓝","Lán<br />lán","surname Lan <br />blue  / indigo plant "
"条","tiáo","strip  / item  / article  / clause (of law or treaty)  / classifier for long thin things (ribbon, river, road, trousers etc) "
"裙","qún<br />qún<br />qún","old variant of 裙 <br />skirt  / CL: 條｜条<br />old variant of 裙 "
"裙子","",""
"双","Shuāng<br />shuāng","surname Shuang <br />two  / double  / pair  / both  / even (number) "
"鞋子","",""
"意大利","",""
"色","sè<br />shǎi","color  / CL: 種｜种 / look  / appearance  / sex <br />color  / dice "
"鞋","xié<br />xié","shoe  / CL: 雙｜双, 隻｜只<br />variant of 鞋 "
"利","Lì<br />lì","surname Li <br />sharp  / favorable  / advantage  / benefit  / profit  / interest  / to do good to  / to benefit "
"比","Bǐ<br />bī<br />bǐ<br />bì","Belgium  / Belgian  / abbr. for 比利時｜比利时 <br />euphemistic variant of 屄 <br />(particle used for comparison and ""-er than"")  / to compare  / to contrast  / to gesture (with hands)  / ratio <br />to associate with  / to be near "
"衬衫","",""
"衬","chèn","(of garments) against the skin  / to line  / lining  / to contrast with  / to assist financially "
"衫","shān","garment  / jacket with open slits in place of sleeves "
"裤子","",""
"好看","",""
"裤","kù<br />kù","variant of 褲｜裤 <br />underpants  / trousers  / pants "
"质","zhì","character  / nature  / quality  / plain  / to pawn  / pledge  / hostage  / to question  / Taiwan pr. [zhi2] "
"量","liáng<br />liàng","to measure <br />capacity  / quantity  / amount  / to estimate  / abbr. for 量詞｜量词, classifier (in Chinese grammar)  / measure word "
"质量","",""
"朵","duǒ<br />duǒ","flower  / earlobe  / fig. item on both sides  / classifier for flowers, clouds etc <br />variant of 朵 "
"睛","jīng","eye  / eyeball "
"绿","lǜ","green "
"耳","ěr","ear  / handle (archaeology)  / and that is all (classical Chinese) "
"眼","yǎn","eye  / small hole  / crux (of a matter)  / CL: 隻｜只, 雙｜双 / classifier for big hollow things (wells, stoves, pots etc) "
"耳朵","",""
"眼睛","",""
"头发","",""
"脸","liǎn","face  / CL: 張｜张, 個｜个"
"又","yòu","(once) again  / also  / both... and...  / and yet  / (used for emphasis) anyway "
"黑","Hēi<br />hēi<br />Hēi<br />Hēi","abbr. for Heilongjiang province 黑龍江｜黑龙江 <br />black  / dark  / sinister  / secret  / shady  / illegal  / to hide (sth) away  / to vilify  / (loanword) to hack (computing) <br />Heilongjiang province (Heilungkiang) in northeast China, abbr. 黑, capital Harbin 哈尔滨 / Heilongjiang river forming the border between northeast China and Russia  / Amur river <br />Heilongjiang Province (Heilungkiang) in northeast China, abbr. 黑, capital Harbin 哈爾濱｜哈尔滨 "
"嘴巴","",""
"鼻子","",""
"脚","jiǎo<br />jué","foot  / leg (of an animal or an object)  / base (of an object)  / CL: 雙｜双, 隻｜只 / classifier for kicks <br />variant of 角 / role "
"嘴","zuǐ","mouth  / beak  / nozzle  / spout (of teapot etc)  / CL: 張｜张, 個｜个"
"鼻","bí","nose "
"巴","Bā<br />bā","Ba state during Zhou dynasty (in east of modern Sichuan)  / abbr. for east Sichuan or Chongqing  / surname Ba  / abbr. for Palestine or Palestinian  / abbr. for Pakistan <br />to long for  / to wish  / to cling to  / to stick to  / sth that sticks  / close to  / next to  / spread open  / informal abbr. for bus 巴士 / bar (unit of pressure)  / nominalizing suffix on certain nouns, such as 尾巴, tail "
"远","yuǎn<br />yuàn","far  / distant  / remote  / (intensifier in a comparison) by far  / much (lower etc) <br />to distance oneself from (classical) "
"离","chī<br />Lí<br />lí","mythical beast (archaic) <br />surname Li <br />to leave  / to part from  / to be away from  / (in giving distances) from  / without (sth)  / independent of  / one of the Eight Trigrams 八卦, symbolizing fire  / ☲ "
"走路","",""
"开车","",""
"飞机","",""
"机场","",""
"飞","fēi","to fly "
"场","cháng<br />chǎng<br />cháng<br />chǎng","threshing floor  / classifier for events and happenings: spell, episode, bout <br />large place used for a specific purpose  / stage  / scene (of a play)  / classifier for sporting or recreational activities  / classifier for number of exams <br />variant of 場｜场 <br />variant of 場｜场 "
"靠","kào","to lean against or on  / to stand by the side of  / to come near to  / to depend on  / to trust  / to fuck (vulgar)  / traditional military costume drama where the performers wear armor (old) "
"停","tíng","to stop  / to halt  / to park (a car) "
"火车","",""
"票","piào","ticket  / ballot  / banknote  / CL: 張｜张 / person held for ransom  / amateur performance of Chinese opera  / classifier for groups, batches, business transactions "
"机票","",""
"火","Huǒ<br />huǒ","surname Huo <br />fire  / urgent  / ammunition  / fiery or flaming  / internal heat (Chinese medicine)  / hot (popular)  / classifier for military units (old) "
"迟到","",""
"让","ràng","to yield  / to permit  / to let sb do sth  / to have sb do sth  / to make sb (feel sad etc)  / by (indicates the agent in a passive clause, like 被) "
"怎么办","",""
"迟","Chí<br />chí","surname Chi <br />late  / delayed  / slow "
"冷","Lěng<br />lěng","surname Leng <br />cold "
"晴","qíng","clear  / fine (weather) "
"天气","",""
"雨","yǔ<br />yù","rain  / CL: 陣｜阵, 場｜场<br />to rain  / (of rain, snow etc) to fall  / to precipitate  / to wet "
"雪","Xuě<br />xuě","surname Xue <br />snow  / snowfall  / CL: 場｜场 / to have the appearance of snow  / to wipe away, off or out  / to clean "
"阴","Yīn<br />yīn<br />yīn<br />yīn","surname Yin <br />overcast (weather)  / cloudy  / shady  / Yin (the negative principle of Yin and Yang)  / negative (electric.)  / feminine  / moon  / implicit  / hidden  / genitalia <br />variant of 陰｜阴 <br />deficiency of yin 陰｜阴 in TCM "
"着","zhāo<br />zháo<br />zhe<br />zhuó","(chess) move  / trick  / all right!  / (dialect) to add <br />to touch  / to come in contact with  / to feel  / to be affected by  / to catch fire  / to burn  / (coll.) to fall asleep  / (after a verb) hitting the mark  / succeeding in <br />aspect particle indicating action in progress <br />to wear (clothes)  / to contact  / to use  / to apply "
"伞","sǎn<br />sǎn","umbrella  / parasol  / CL: 把<br />damask silk  / variant of 傘｜伞 "
"带","dài<br />dàir","band  / belt  / girdle  / ribbon  / tire  / area  / zone  / region  / CL: 條｜条 / to wear  / to carry  / to take along  / to bear (i.e. to have)  / to lead  / to bring  / to look after  / to raise <br />erhua variant of 帶｜带 "
"外面","",""
"可能","",""
"刮","guā<br />guā","to scrape  / to blow  / to shave  / to plunder  / to extort <br />to blow (of the wind) "
"风","fēng","wind  / news  / style  / custom  / manner  / CL: 陣｜阵, 絲｜丝"
"如果","",""
"就","jiù","at once  / right away  / only  / just (emphasis)  / as early as  / already  / as soon as  / then  / in that case  / as many as  / even if  / to approach  / to move towards  / to undertake  / to engage in  / to suffer  / subjected to  / to accomplish  / to take advantage of  / to go with (of foods)  / with regard to  / concerning "
"从来","",""
"如","rú","as  / as if  / such as "
"里面","",""
"然","rán","correct  / right  / so  / thus  / like this  / -ly "
"但","dàn","but  / yet  / however  / only  / merely  / still "
"虽","suī","although  / even though "
"短","duǎn","short  / brief  / to lack  / weak point  / fault "
"长","cháng<br />zhǎng","length  / long  / forever  / always  / constantly <br />chief  / head  / elder  / to grow  / to develop  / to increase  / to enhance "
"虽然","",""
"但是","",""
"红","Hóng<br />hóng","surname Hong <br />red  / popular  / revolutionary  / bonus "
"颜色","",""
"穿","chuān","to wear  / to put on  / to dress  / to bore through  / to pierce  / to perforate  / to penetrate  / to pass through  / to thread "
"颜","Yán<br />yán<br />yán","surname Yan <br />color  / face  / countenance <br />Japanese variant of 顏｜颜 "
"黄","Huáng<br />huáng","surname Huang or Hwang <br />yellow  / pornographic  / to fall through "
"黃","",""
"手表","",""
"卖","mài","to sell  / to betray  / to spare no effort  / to show off or flaunt "
"帽子","",""
"帽","mào<br />mào","old variant of 帽 <br />hat  / cap "
"表","biǎo<br />biǎo","exterior surface  / family relationship via females  / to show (one's opinion)  / a model  / a table (listing information)  / a form  / a meter (measuring sth) <br />wrist or pocket watch "
"紫","zǐ","purple  / violet  / amethyst  / Lithospermum erythrorhizon (flowering plant whose root provides red purple dye)  / Japanese: murasaki "
"绍","Shào<br />shào","surname Shao <br />to continue  / to carry on "
"介","jiè","to introduce  / to lie between  / between  / shell  / armor "
"介绍","",""
"帅","Shuài<br />shuài","surname Shuai <br />handsome  / graceful  / smart  / commander in chief  / (coll.) cool!  / sweet! "
"笑","xiào<br />xiào","old variant of 笑 <br />laugh  / smile  / CL: 個｜个"
"说话","",""
"聪明","",""
"别人","",""
"不但","",""
"而且","",""
"聪","cōng","quick at hearing  / wise  / clever  / sharp-witted  / intelligent  / acute "
"而","ér","and  / as well as  / and so  / but (not)  / yet (not)  / (indicates causal relation)  / (indicates change of state)  / (indicates contrast) "
"且","qiě","and  / moreover  / yet  / for the time being  / to be about to  / both (... and...) "
"春","chūn<br />Chūn<br />chūn","old variant of 春 <br />surname Chun <br />spring (season)  / gay  / joyful  / youthful  / love  / lust  / life "
"快乐","",""
"节日","",""
"春节","",""
"礼物","",""
"送","sòng","to deliver  / to carry  / to give (as a present)  / to present (with)  / to see off  / to send "
"新年","",""
"白酒","",""
"礼","Lǐ<br />lǐ","surname Li  / abbr. for 禮記｜礼记, Classic of Rites <br />gift  / rite  / ceremony  / CL: 份 / propriety  / etiquette  / courtesy "
"物","wù","thing  / object  / matter  / abbr. for physics 物理 "
"干杯","",""
"祝","Zhù<br />zhù","surname Zhu <br />to wish  / to express good wishes  / to pray  / (old) wizard "
"法国","",""
"红酒","",""
"法","fǎ<br />Fǎ<br />fǎ<br />fǎ","variant of 法 <br />France  / French  / abbr. for 法國｜法国 / Taiwan pr. [Fa4] <br />law  / method  / way  / Buddhist teaching  / Legalist <br />old variant of 法 / law "
"赛","sài","to compete  / competition  / match  / to surpass  / better than  / superior to  / to excel "
"练","liàn","to practice  / to train  / to drill  / to perfect (one's skill)  / exercise "
"练习","",""
"比赛","",""
"好在","",""
"乒乓球","",""
"乒","pīng","(onom.) ping  / bing "
"乓","pāng","(onom.) bang "
"参加","",""
"第","dì","(prefix indicating ordinal number, e.g. first, number two etc)  / order  / (old) rank in the imperial examinations  / mansion  / (literary) but  / just "
"参","cān<br />shēn<br />cān<br />shēn<br />shēn","to take part in  / to participate  / to join  / to attend  / to counsel  / unequal  / varied  / irregular  / uneven  / not uniform  / abbr. for 參議院｜参议院 Senate, Upper House <br />ginseng  / one of the 28 constellations <br />old variant of 參｜参 <br />variant of 參｜参 <br />variant of 參｜参 "
"网球","",""
"排球","",""
"加油","",""
"排","pái","a row  / a line  / to set in order  / to arrange  / to line up  / to eliminate  / to drain  / to push open  / platoon  / raft  / classifier for lines, rows etc "
"油","yóu","oil  / fat  / grease  / petroleum  / to apply tung oil, paint or varnish  / oily  / greasy  / glib  / cunning "
"输","shū","to lose  / to transport  / to donate  / to enter (a password) "
"赢","yíng","to beat  / to win  / to profit "
"失望","",""
"信心","",""
"失","shī","to lose  / to miss  / to fail "
"心","xīn","heart  / mind  / intention  / center  / core  / CL: 顆｜颗, 個｜个"
"同","tóng<br />tóng<br />tòng","(used in given names)  / variant of 同 <br />like  / same  / similar  / together  / alike  / with <br />see 衚衕｜胡同 "
"课","kè","subject  / course  / CL: 門｜门 / class  / lesson  / CL: 堂, 節｜节 / to levy  / tax  / form of divination "
"教","Jiào<br />jiāo<br />jiào","surname Jiao <br />to teach <br />religion  / teaching  / to make  / to cause  / to tell "
"教室","",""
"同学","",""
"地理","",""
"理","lǐ","texture  / grain (of wood)  / inner essence  / intrinsic order  / reason  / logic  / truth  / science  / natural science (esp. physics)  / to manage  / to pay attention to  / to run (affairs)  / to handle  / to put in order  / to tidy up "
"懂","dǒng","to understand  / to comprehend "
"问题","",""
"笔","bǐ","pen  / pencil  / writing brush  / to write or compose  / the strokes of Chinese characters  / classifier for sums of money, deals  / CL: 支, 枝"
"题","Tí<br />tí","surname Ti <br />topic  / problem for discussion  / exam question  / subject  / to inscribe  / to mention  / CL: 個｜个, 道"
"美术","",""
"术","shù<br />zhú","method  / technique <br />various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea "
"考试","",""
"准备","",""
"考","kǎo<br />kǎo","to beat  / to hit  / variant of 考 / to inspect  / to test  / to take an exam <br />to check  / to verify  / to test  / to examine  / to take an exam  / to take an entrance exam for  / deceased father "
"备","bèi<br />bèi","variant of 備｜备 <br />to prepare  / get ready  / to provide or equip "
"科学","",""
"科","kē","branch of study  / administrative section  / division  / field  / branch  / stage directions  / family (taxonomy)  / rules  / laws  / to mete out (punishment)  / to levy (taxes etc)  / to fine sb  / CL: 個｜个"
"下课","",""
"爷爷","",""
"奶奶","",""
"阿姨","",""
"爷","yé","grandpa  / old gentleman "
"阿","Ā<br />ā<br />ē","abbr. for Afghanistan 阿富汗 <br />prefix used before monosyllabic names, kinship terms etc to indicate familiarity  / used in transliteration  / also pr. [a4] <br />flatter "
"姨","yí","mother's sister  / aunt "
"兄弟姐妹","",""
"关系","",""
"叔叔","",""
"父母","",""
"兄","xiōng","elder brother "
"叔","shū","uncle  / father's younger brother  / husband's younger brother  / Taiwan pr. [shu2] "
"父","fù","father "
"母","mǔ","mother  / elderly female relative  / origin  / source  / (of animals) female "
"像","xiàng","to resemble  / to be like  / to look as if  / such as  / appearance  / image  / portrait  / image under a mapping (math.) "
"一样","",""
"亲戚","",""
"戚","qī<br />qī<br />Qī<br />qī","variant of 戚 / grief  / sorrow <br />variant of 慼｜戚 <br />surname Qi <br />relative  / parent  / grief  / sorrow  / battle-axe "
"亲","qīn<br />qìng","parent  / one's own (flesh and blood)  / relative  / related  / marriage  / bride  / close  / intimate  / in person  / first-hand  / in favor of  / pro-  / to kiss  / (Internet slang) dear <br />parents-in-law of one's offspring "
"拉面","",""
"点心","",""
"小笼包","",""
"拉","lā","to pull  / to play (a bowed instrument)  / to drag  / to draw  / to chat "
"笼","lóng<br />lǒng","enclosing frame made of bamboo, wire etc  / cage  / basket  / steamer basket  / to cover  / to cage  / to embrace  / to manipulate through trickery <br />to cover  / to cage  / covering  / also pr. [long2] "
"粥","yù<br />zhōu","see 葷粥｜荤粥 <br />congee  / gruel  / porridge  / CL: 碗"
"油条","",""
"豆浆","",""
"豆","dòu<br />dòu","variant of 豆 <br />bean  / pea  / CL: 棵, 粒 / sacrificial vessel "
"浆","jiāng<br />jiàng","broth  / serum  / to starch <br />starch paste "
"火锅","",""
"包子","",""
"炒饭","",""
"锅","guō<br />guō","pot  / pan  / boiler  / CL: 口, 隻｜只<br />see 鍋｜锅 / see 涮鍋子｜涮锅子 / bowl (of a smoking pipe etc) "
"炒","chǎo","to sauté  / to stir-fry  / to speculate  / to hype  / to fire (sb) "
"夏","Xià<br />xià","the Xia or Hsia dynasty c. 2000 BC  / Xia of the Sixteen Kingdoms (407-432)  / surname Xia <br />summer "
"冬","dōng<br />Dōng<br />dōng","winter <br />surname Dong <br />(onom.) beating a drum  / rat-a-tat "
"秋","Qiū<br />qiū<br />qiū<br />qiū","surname Qiu <br />autumn  / fall  / harvest time <br />old variant of 秋 <br />see 鞦韆｜秋千 "
"季","Jì<br />jì","surname Ji <br />season  / the last month of a season  / fourth or youngest amongst brothers  / classifier for seasonal crop yields "
"澳","Ào<br />ào","abbr. for Macao 澳門｜澳门 / abbr. for Australia 澳大利亞｜澳大利亚 <br />deep bay  / cove  / harbor "
"亚","yà","Asia  / Asian  / second  / next to  / inferior  / sub-  / Taiwan pr. [ya3] "
"季节","",""
"澳大利亚","",""
"越来越","",""
"前天","",""
"后天","",""
"堵车","",""
"大概","",""
"准时","",""
"刚","gāng","hard  / firm  / strong  / just  / barely  / exactly "
"堵","dǔ","to stop up  / (to feel) stifled or suffocated  / wall  / classifier for walls "
"概","gài<br />gài","general  / approximate <br />old variant of 概 "
"城","chéng","city walls  / city  / town  / CL: 座, 道, 個｜个"
"附","fù<br />fù","variant of 附 <br />to add  / to attach  / to be close to  / to be attached "
"园","Yuán<br />yuán","surname Yuan <br />land used for growing plants  / site used for public recreation "
"城市","",""
"附近","",""
"公园","",""
"图","tú","diagram  / picture  / drawing  / chart  / map  / CL: 張｜张 / to plan  / to scheme  / to attempt  / to pursue  / to seek "
"方","Fāng<br />fāng","surname Fang <br />square  / power or involution (mathematics)  / upright  / honest  / fair and square  / direction  / side  / party (to a contract, dispute etc)  / place  / method  / prescription (medicine)  / just when  / only or just  / classifier for square things  / abbr. for square or cubic meter "
"中间","",""
"图书馆","",""
"地方","",""
"上面","",""
"下面","",""
"咖啡馆","",""
"折","shé<br />zhē<br />zhé<br />zhé","to break (e.g. stick or bone)  / a loss <br />to turn sth over  / to turn upside down  / to tip sth out (of a container) <br />to break  / to fracture  / to snap  / to suffer loss  / to bend  / to twist  / to turn  / to change direction  / convinced  / to convert into (currency)  / discount  / rebate  / tenth (in price)  / classifier for theatrical scenes  / to fold  / accounts book <br />variant of 折 / to fold "
"角","Jué<br />jiǎo<br />jué","surname Jue <br />angle  / corner  / horn  / horn-shaped  / unit of money equal to 0.1 yuan  / CL: 個｜个<br />role (theater)  / to compete  / ancient three legged wine vessel  / third note of pentatonic scale "
"花","Huā<br />huā<br />huā<br />huā<br />huār","surname Hua <br />flower  / blossom  / CL: 朵, 支, 束, 把, 盆, 簇 / fancy pattern  / florid  / to spend (money, time) <br />old variant of 花 <br />variant of 花 / flower  / blossom  / also pr. [wei3] <br />erhua variant of 花 "
"打折","",""
"旧","jiù","old  / opposite: new 新 / former  / worn (with age) "
"皮","Pí<br />pí","surname Pi <br />leather  / skin  / fur  / CL: 張｜张 / pico- (one trillionth)  / naughty "
"换","huàn","to exchange  / to change (clothes etc)  / to substitute  / to switch  / to convert (currency) "
"皮鞋","",""
"经过","",""
"退货","",""
"退款","",""
"退","tuì","to retreat  / to decline  / to move back  / to withdraw "
"货","huò","goods  / money  / commodity  / CL: 個｜个"
"款","kuǎn","section  / paragraph  / funds  / CL: 筆｜笔, 個｜个 / classifier for versions or models (of a product) "
"袋子","",""
"惯","guàn","accustomed to  / used to  / indulge  / to spoil (a child) "
"刷","shuā<br />shuà","to brush  / to paint  / to daub  / to paste up  / to skip class (of students)  / to fire from a job <br />to select "
"习惯","",""
"刷牙","",""
"马上","",""
"以后","",""
"澡","zǎo","bath "
"总","zǒng","always  / to assemble  / gather  / total  / overall  / head  / chief  / general  / in every case "
"洗澡","",""
"一边","",""
"总是","",""
"讲","jiǎng","to speak  / to explain  / to negotiate  / to emphasise  / to be particular about  / as far as sth is concerned  / speech  / lecture "
"故","gù","happening  / instance  / reason  / cause  / intentional  / former  / old  / friend  / therefore  / hence  / (of people) to die, dead "
"故事","",""
"以前","",""
"做梦","",""
"梦","mèng","dream  / CL: 場｜场, 個｜个"
"除","chú","to get rid of  / to remove  / to exclude  / to eliminate  / to wipe out  / to divide  / except  / not including "
"其","qí","his  / her  / its  / their  / that  / such  / it (refers to sth preceding it) "
"饺","jiǎo","dumplings with meat filling "
"北方","",""
"除了","",""
"其他","",""
"饺子","",""
"辣","là<br />là","old variant of 辣 <br />hot (spicy)  / pungent "
"极","jí","extremely  / pole (geography, physics)  / utmost  / top "
"苦","kǔ<br />kǔ","bitter  / hardship  / pain  / to suffer  / to bring suffering to  / painstakingly <br />the Four Noble Truths (Budd.), namely: all life is suffering 苦, the cause of suffering is desire 集, emancipation comes only by eliminating passions 滅｜灭, the way 道 to emancipation is the Eight-fold Noble Way 八正道 / also called 四諦｜四谛 "
"盐","yán","salt  / CL: 粒"
"咸","Xián<br />xián<br />xián","surname Xian <br />all  / everyone  / each  / widespread  / harmonious <br />salted  / salty  / stingy  / miserly "
"南","Nán<br />nán","surname Nan <br />south "
"南方","",""
"难吃","",""
"级","jí","level  / grade  / rank  / step (of stairs)  / CL: 個｜个 / classifier: step, level "
"个子","",""
"年级","",""
"小学","",""
"初中","",""
"初","chū","at first  / (at the) beginning  / first  / junior  / basic "
"较","jiào","to compare  / to dispute  / compared to  / (before adj.) relatively  / comparatively  / rather  / also pr. [jiao3] "
"年轻","",""
"比较","",""
"眼镜","",""
"戴","Dài<br />dài","surname Dai <br />to put on or wear (glasses, hat, gloves etc)  / to respect  / to bear  / to support "
"镜","jìng","mirror  / lens "
"先","xiān","early  / prior  / former  / in advance  / first "
"然后","",""
"西边","",""
"东边","",""
"北边","",""
"一直","",""
"最后","",""
"南边","",""
"直","Zhí<br />zhí","surname Zhi  / Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝 descended from Shennong 神農｜神农 Farmer God <br />straight  / to straighten  / fair and reasonable  / frank  / straightforward  / (indicates continuing motion or action)  / vertical  / vertical downward stroke in Chinese characters "
"迷路","",""
"地址","",""
"周围","",""
"迷","mí","to bewilder  / crazy about  / fan  / enthusiast  / lost  / confused "
"址","zhǐ","location  / site "
"围","Wéi<br />wéi","surname Wei <br />to encircle  / to surround  / all around  / to wear by wrapping around (scarf, shawl) "
"般","bān<br />pán","sort  / kind  / class  / way  / manner <br />see 般樂｜般乐 "
"聊","liáo","to chat  / to depend upon (literary)  / temporarily  / just  / slightly "
"聊天","",""
"一般","",""
"见面","",""
"自己","",""
"一个人","",""
"自","zì","self  / oneself  / from  / since  / naturally  / surely "
"己","jǐ","self  / oneself  / sixth of the ten Heavenly Stems 十天干 / sixth in order  / letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc  / hexa "
"证","zhèng<br />zhèng","to admonish  / variant of 證｜证 <br />certificate  / proof  / to prove  / to demonstrate  / to confirm  / variant of 症 "
"签","qiān<br />qiān<br />qiān","to sign one's name  / visa  / variant of 籤｜签 <br />Japanese variant of 籤｜签 <br />inscribed bamboo stick (used in divination, gambling, drawing lots etc)  / small wood sliver  / label  / tag "
"护","hù","to protect "
"护照","",""
"签证","",""
"发现","",""
"起飞","",""
"离开","",""
"检查","",""
"行李","",""
"安全","",""
"检","jiǎn","to check  / to examine  / to inspect  / to exercise restraint "
"查","Zhā<br />chá<br />zhā","surname Zha <br />to research  / to check  / to investigate  / to examine  / to refer to  / to look up (e.g. a word in a dictionary) <br />see 山查 "
"几乎","",""
"忘记","",""
"海关","",""
"忘","wàng","to forget  / to overlook  / to neglect "
"记","jì","to record  / to note  / to memorize  / to remember  / mark  / sign  / classifier for blows, kicks, shots "
"乎","hū","(classical particle similar to 於｜于) in  / at  / from  / because  / than  / (classical final particle similar to 嗎｜吗, 吧, 呢, expressing question, doubt or astonishment) "
"言","yán","words  / speech  / to say  / to talk "
"易","Yì<br />yì","surname Yi  / abbr. for 易經｜易经, the Book of Changes <br />easy  / amiable  / to change  / to exchange "
"容","Róng<br />róng","surname Rong <br />to hold  / to contain  / to allow  / to tolerate  / appearance  / look  / countenance "
"种","zhǒng<br />zhòng","seed  / species  / kind  / type  / classifier for types, kinds, sorts <br />to plant  / to grow  / to cultivate "
"容易","",""
"语言","",""
"更","gēng<br />gèng","to change or replace  / to experience  / one of the five two-hour periods into which the night was formerly divided  / watch (e.g. of a sentry or guard) <br />more  / even more  / further  / still  / still more "
"努力","",""
"汉字","",""
"努","nǔ","to exert  / to strive "
"提高","",""
"水平","",""
"后来","",""
"提","tí","to carry (hanging down from the hand)  / to lift  / to put forward  / to mention  / to raise (an issue)  / upwards character stroke  / lifting brush stroke (in painting)  / scoop for measuring liquid "
"平","Píng<br />píng","surname Ping <br />flat  / level  / equal  / to tie (make the same score)  / to draw (score)  / calm  / peaceful  / see also 平聲｜平声 "
"看起来","",""
"奇怪","",""
"生气","",""
"紧张","",""
"奇","jī<br />qí","odd (number) <br />strange  / odd  / weird  / wonderful  / surprisingly  / unusually "
"怪","guài<br />guài","bewildering  / odd  / strange  / uncanny  / devil  / monster  / to wonder at  / to blame  / quite  / rather <br />variant of 怪 "
"紧","jǐn","tight  / strict  / close at hand  / near  / urgent  / tense  / hard up  / short of money  / to tighten "
"难过","",""
"哭","kū","to cry  / to weep "
"可怕","",""
"热情","",""
"关心","",""
"经常","",""
"遇到","",""
"好笑","",""
"遇","Yù<br />yù","surname Yu <br />to meet  / to encounter  / to treat  / to receive  / opportunity  / chance "
"求","qiú","to seek  / to look for  / to request  / to demand  / to beseech "
"校长","",""
"要求","",""
"食堂","",""
"食","shí<br />sì","to eat  / food  / animal feed  / eclipse <br />to feed "
"堂","táng","(main) hall  / large room for a specific purpose  / CL: 間｜间 / relationship between cousins etc on the paternal side of a family  / of the same clan  / classifier for classes, lectures etc  / classifier for sets of furniture "
"必须","",""
"完成","",""
"作业","",""
"高中","",""
"必","bì","certainly  / must  / will  / necessarily "
"成","Chéng<br />chéng","surname Cheng <br />to succeed  / to finish  / to complete  / to accomplish  / to become  / to turn into  / to be all right  / OK!  / one tenth "
